ciudad,nombre,prioridad,lugar_busqueda,tipo,precio,notas
Edimburgo,Holyrood Abbey,Solo mapeado,"Holyrood Abbey, Edinburgh, UK",Sitio histórico,Incluida,Abadía s.XII en ruinas; con ticket de Holyroodhouse
Edimburgo,Scottish Parliament,Solo mapeado,"Scottish Parliament, Edinburgh, UK",Sitio histórico,Gratis,Edificio contemporáneo; galería pública en sesión
Edimburgo,Greyfriars Kirkyard,Solo mapeado,"Greyfriars Kirkyard, Edinburgh, UK",Cementerio,Gratis,Nombres de Harry Potter; tumba de Thomas Riddell; Bobby
Edimburgo,Scott Monument,Solo mapeado,"Scott Monument, Edinburgh, UK",Sitio histórico,~£10,Torre gótica 61m; 287 escalones con vistas
Edimburgo,Calton Hill,Solo mapeado,"Calton Hill, Edinburgh, UK",Mirador,Gratis,National Monument y Nelson Monument; vistas 360; atardecer
Edimburgo,Gladstone's Land,Solo mapeado,"Gladstone's Land, Edinburgh, UK",Sitio histórico,~£8,Tenement s.XVII en la Royal Mile
Edimburgo,John Knox House,Solo mapeado,"John Knox House, Edinburgh, UK",Sitio histórico,~£6,Casa medieval s.XV-XVI; Reforma escocesa
Edimburgo,Dean Village,Quizás,"Dean Village, Edinburgh, UK",Sitio histórico,Gratis,Aldea de molinos; aspecto de cuento
Edimburgo,Grassmarket,Quiero ir,"Grassmarket, Edinburgh, UK",Plaza,Gratis,Plaza histórica al pie del castillo; pubs y mercado
Edimburgo,George Heriot's School,Solo mapeado,"George Heriot's School, Edinburgh, UK",Sitio histórico,Gratis exterior,Inspiración de Hogwarts; visible desde Greyfriars
Edimburgo,Canongate Tolbooth,Solo mapeado,"Canongate Tolbooth, Edinburgh, UK",Museo,Gratis,The People's Story; prisión s.XVI
Edimburgo,National Museum of Scotland,Quiero ir,"National Museum of Scotland, Edinburgh, UK",Museo,Gratis,De los mejores del UK; 5 plantas; mínimo 3h
Edimburgo,Scottish National Gallery,Solo mapeado,"Scottish National Gallery, Edinburgh, UK",Museo,Gratis,Velázquez
Edimburgo,Scottish National Portrait Gallery,Solo mapeado,"Scottish National Portrait Gallery, Edinburgh, UK",Museo,Gratis,Edificio neo-gótico; Mary Reina de Escocia
Edimburgo,Scottish National Gallery of Modern Art,Solo mapeado,"Scottish National Gallery of Modern Art, Edinburgh, UK",Museo,Gratis,Arte moderno; jardines con esculturas en Dean Village
Edimburgo,Writers' Museum,Solo mapeado,"Writers' Museum, Edinburgh, UK",Museo,Gratis,Scott
Edimburgo,Museum of Edinburgh,Solo mapeado,"Museum of Edinburgh, Canongate, UK",Museo,Gratis,Historia local en edificio s.XVI
Edimburgo,Museum of Childhood,Solo mapeado,"Museum of Childhood, Edinburgh, UK",Museo,Gratis,Colección de juguetes de siglos
Edimburgo,Surgeons' Hall Museum,Solo mapeado,"Surgeons' Hall Museums, Edinburgh, UK",Museo,~£8,Colección anatómica; historia forense
Edimburgo,Camera Obscura,Solo mapeado,"Camera Obscura, Edinburgh, UK",Museo,~£18-20,Cámara oscura victoriana + ilusiones ópticas
Edimburgo,The Scotch Whisky Experience,Solo mapeado,"Scotch Whisky Experience, Edinburgh, UK",Experiencia,£24,Tour-cata; Silver Tour con las 4 regiones
Edimburgo,Arthur's Seat,Solo mapeado,"Arthur's Seat, Edinburgh, UK",Mirador,Gratis,Volcán extinto 251m; mejor al amanecer; 2-3h
Edimburgo,Salisbury Crags,Solo mapeado,"Salisbury Crags, Edinburgh, UK",Mirador,Gratis,Acantilado en Holyrood Park; Radical Road
Edimburgo,Holyrood Park,Solo mapeado,"Holyrood Park, Edinburgh, UK",Parque,Gratis,640ha de naturaleza volcánica; Arthur's Seat
Edimburgo,Princes Street Gardens,Solo mapeado,"Princes Street Gardens, Edinburgh, UK",Parque,Gratis,Jardines bajo el castillo; picnic
Edimburgo,Royal Botanic Garden,Solo mapeado,"Royal Botanic Garden Edinburgh, UK",Parque,Gratis (glasshouses £8),72ha; jardín chino
Edimburgo,The Meadows,Solo mapeado,"The Meadows, Edinburgh, UK",Parque,Gratis,Parque al sur de Old Town; sin turistas
Edimburgo,Stockbridge Market,Quizás,"Stockbridge Market, Edinburgh, UK",Mercado,,Productores locales; solo domingos; el más auténtico
Edimburgo,Edinburgh Farmers' Market,Solo mapeado,"Castle Terrace, Edinburgh, UK",Mercado,,Productores escoceses; solo sábados 9-14h
Edimburgo,Sandy Bell's,Quizás,"Sandy Bell's, Edinburgh, UK",Pub,,Folk tradicional casi todas las noches; sin cover
Edimburgo,Victoria Street,Solo mapeado,"Victoria Street, Edinburgh, UK",Harry Potter,Gratis,Calle curva; inspiración del Callejón Diagón
Edimburgo,The Elephant House,Solo mapeado,"The Elephant House, Edinburgh, UK",Harry Potter,,Café donde JKR escribió; reabrió dic 2025
Edimburgo,Balmoral Hotel,Solo mapeado,"The Balmoral Hotel, Edinburgh, UK",Harry Potter,Gratis exterior,JKR terminó Reliquias de la Muerte en la suite 552
Edimburgo,Old Town,Solo mapeado,"Royal Mile, Edinburgh, UK",Barrio,Gratis,Corazón medieval; Royal Mile y las closes
Edimburgo,New Town,Solo mapeado,"New Town, Edinburgh, UK",Barrio,Gratis,Arquitectura georgiana 1766; George Street
Edimburgo,Stockbridge,Solo mapeado,"Stockbridge, Edinburgh, UK",Barrio,Gratis,Bohemio y local; Water of Leith
Edimburgo,Leith,Solo mapeado,"Leith, Edinburgh, UK",Barrio,Gratis,Puerto histórico; The Shore gastronómico
Highlands,West Highland Museum,Solo mapeado,"West Highland Museum, Fort William, UK",Museo,Gratis,Historia jacobita; Retrato Secreto de Bonnie Prince Charlie
Highlands,Nevis Range Gondola,Solo mapeado,"Nevis Range, Fort William, UK",Teleférico,~£20,Telesilla a 650m; vistas a Ben Nevis
Highlands,Ben Nevis,Quizás,"Ben Nevis, UK",Trekking,Gratis,Montaña más alta de UK; 7-9h exigente; alternativa Steall Falls
Highlands,Glen Nevis & Steall Falls,Quiero ir,"Steall Falls, Glen Nevis, UK",Trekking,Gratis,Cascada de 120m; ruta de Harry Potter y Braveheart; fácil
Highlands,Neptune's Staircase,Solo mapeado,"Neptune's Staircase, Banavie, UK",Sitio histórico,Gratis,8 esclusas del Canal Caledoniano
Highlands,Old Inverlochy Castle,Solo mapeado,"Old Inverlochy Castle, Fort William, UK",Castillo,Gratis,Ruinas s.XIII; sin aglomeraciones
Highlands,Fort William Town,Quiero ir,"Fort William, UK",Pueblo,Gratis,Base práctica; outdoor stores y supermercados
Highlands,Glencoe Valley (Three Sisters),Quiero ir,"Three Sisters, Glencoe, UK",Paisaje,Gratis,Valle dramático; Highlander
Highlands,Buachaille Etive Mòr,Quizás,"Buachaille Etive Mor, UK",Paisaje,Gratis,Monte piramidal icónico; vista desde Altnafeadh
Highlands,Glen Etive,Quiero ir,"Glen Etive, UK",Paisaje,Gratis,Single-track de Skyfall; solitaria y brutal
Highlands,Lost Valley (Coire Gabhail),Quizás,"Lost Valley, Glencoe, UK",Trekking,Gratis,Valle oculto de los MacDonald; 2-3h moderada
Highlands,Signal Rock,Solo mapeado,"Signal Rock, Glencoe, UK",Sitio histórico,Gratis,Roca de la Masacre de Glencoe 1692; 30 min
Highlands,Glencoe Lochan,Solo mapeado,"Glencoe Lochan, UK",Naturaleza,Gratis,Lago artificial 1890; loop de 45 min
Highlands,Glencoe Visitor Centre,Quizás,"Glencoe Visitor Centre, UK",Museo,~£5-8,Exposición sobre la masacre y jacobitas
Highlands,Devil's Staircase,Solo mapeado,"Devil's Staircase, Kinlochleven, UK",Trekking,Gratis,Paso de montaña del West Highland Way; 2-3h
Highlands,Glenfinnan Viaduct,Quiero ir,"Glenfinnan Viaduct, UK",Sitio histórico,Gratis,Puente de Hogwarts; llegar 45-60 min antes del tren
Highlands,Glenfinnan Monument,Solo mapeado,"Glenfinnan Monument, UK",Sitio histórico,~£5-8,Estandarte jacobita 1745; Loch Shiel
Highlands,Mallaig + Silver Sands of Morar,Quizás,"Silver Sands of Morar, UK",Playa,Gratis,Playas de arena blanca; puerto de marisco fresco
Highlands,Castle Stalker,Solo mapeado,"Castle Stalker, Portnacroish, UK",Castillo,Gratis exterior,Castillo s.XV en islote; Monty Python; vista desde A828
Highlands,Oban,Solo mapeado,"Oban, UK",Pueblo,,Capital del marisco escocés; Seafood Shack; distillery
Highlands,Loch Lomond,Solo mapeado,"Loch Lomond, UK",Paisaje,Gratis,Se pasa en la A82 desde Edimburgo
Highlands,Eilean Donan Castle,Quizás,"Eilean Donan Castle, Dornie, UK",Castillo,£13,El castillo más fotografiado de Escocia; solo caja el día
Highlands,Plockton,Solo mapeado,"Plockton, UK",Pueblo,Gratis,Pueblo de pescadores con palmeras; nutrias en el loch
Highlands,Bealach na Bà / Applecross,Solo mapeado,"Bealach na Ba, Applecross, UK",Paisaje,Gratis,Carretera de montaña más dramática de GB; +2h extra
Highlands,Puerto de Portree,Quiero ir,"Portree Harbour, Isle of Skye, UK",Pueblo,Gratis,Casas de colores reflejadas; la foto icónica de Skye
Highlands,Old Man of Storr,Quizás,"Old Man of Storr, Isle of Skye, UK",Trekking,Parking £5-7,Aguja de basalto de 50m; 2-3h; llegar antes de 8am
Highlands,Quiraing,Quizás,"Quiraing, Isle of Skye, UK",Trekking,Gratis,Plateau de basalto alienígena; loop 4-5h o mirador
Highlands,Kilt Rock & Mealt Falls,Quiero ir,"Kilt Rock, Isle of Skye, UK",Paisaje,Gratis,Acantilados de basalto hexagonal con cascada al mar
Highlands,Lealt Falls,Solo mapeado,"Lealt Falls, Isle of Skye, UK",Naturaleza,Gratis,Cascadas en garganta; 20 min; poco transitado
Highlands,Brothers' Point,Quizás,"Rubha nam Brathairean, Isle of Skye, UK",Trekking,Gratis,Promontorio sobre el mar; 2.5h; raramente lleno
Highlands,Fairy Glen,Quiero ir,"Fairy Glen, Uig, Isle of Skye, UK",Paisaje,Gratis,Colinas cónicas surrealistas; 15 min
Highlands,Duntulm Castle,Solo mapeado,"Duntulm Castle, Isle of Skye, UK",Castillo,Gratis,Ruinas s.XV en acantilado; poco visitado
Highlands,Skye Museum of Island Life,Quizás,"Skye Museum of Island Life, UK",Museo,~£5,Blackhouses de turba; vida crofter s.XIX
Highlands,Neist Point Lighthouse,Solo mapeado,"Neist Point Lighthouse, Isle of Skye, UK",Paisaje,Gratis,El faro más occidental; los mejores atardeceres; 1h
Highlands,Dunvegan Castle,Quizás,"Dunvegan Castle, Isle of Skye, UK",Castillo,£17.50,Castillo habitado más antiguo; Clan MacLeod; Fairy Flag
Highlands,Coral Beach,Solo mapeado,"Coral Beach, Claigan, Isle of Skye, UK",Playa,Gratis,Playa de coral blanco; 30 min desde el parking
Highlands,Fairy Pools,Quiero ir,"Fairy Pools, Glen Brittle, Isle of Skye, UK",Trekking,Parking £5,Piscinas de agua cristalina bajo las Cuillin; antes de 9am
Highlands,Sligachan Old Bridge,Quizás,"Sligachan Old Bridge, Isle of Skye, UK",Paisaje,Gratis,Puente s.XIX con las Black Cuillin; 15 min foto
Highlands,Glen Brittle,Quizás,"Glen Brittle, Isle of Skye, UK",Paisaje,Gratis,Valle de las Fairy Pools; playa al final
Highlands,Talisker Distillery,Solo mapeado,"Talisker Distillery, Isle of Skye, UK",Destilería,~£15-20,Única destilería de Skye; whisky ahumado marino
Highlands,Talisker Bay,Solo mapeado,"Talisker Bay, Isle of Skye, UK",Playa,Gratis,Playa de arena negra; 20 min; vacía
Highlands,Elgol,Solo mapeado,"Elgol, Isle of Skye, UK",Paisaje,Bote ~£20-25,Bote a Loch Coruisk; paisaje salvaje; reservar
Highlands,Armadale Castle,Solo mapeado,"Armadale Castle, Isle of Skye, UK",Castillo,~£8,Clan Donald Centre; queda muy lejos
Highlands,Glen Shiel & Five Sisters,Quiero ir,"Five Sisters of Kintail, UK",Paisaje,Gratis,Valle con cinco picos; miradores a pie de carretera
Highlands,Loch Cluanie,Quizás,"Loch Cluanie, UK",Paisaje,Gratis,Embalse entre montañas; parada fotográfica
Highlands,Ness Islands,Quizás,"Ness Islands, Inverness, UK",Naturaleza,Gratis,Islotes en el río Ness; ardillas rojas; 1h
Highlands,Leakey's Bookshop,Quizás,"Leakey's Bookshop, Inverness, UK",Tienda,Gratis,Librería en iglesia s.XVIII; la chimenea más grande de Escocia
Highlands,Inverness Castle,Quiero ir,"Inverness Castle, UK",Castillo,Gratis exterior,Castillo victoriano rojo; vistas del río Ness
Highlands,Victorian Market,Solo mapeado,"Victorian Market, Inverness, UK",Mercado,Gratis,Mercado cubierto s.XIX; tiendas locales
Highlands,Church Street,Quiero ir,"Church Street, Inverness, UK",Barrio,Gratis,Calles más antiguas con carácter; georgianas y victorianas
Highlands,Urquhart Castle,Solo mapeado,"Urquhart Castle, Drumnadrochit, UK",Castillo,~£12-14,Ruinas sobre el Loch Ness; Grant Tower; Explorer Pass
Highlands,Loch Ness Centre,Solo mapeado,"Loch Ness Centre, Drumnadrochit, UK",Museo,~£15-18,Exposición sobre Nessie con metodología científica
Highlands,Fort Augustus,Solo mapeado,"Fort Augustus, UK",Pueblo,Gratis,5 esclusas del Canal Caledoniano; hipnotizante y gratis
Highlands,Dores Beach,Solo mapeado,"Dores Beach, Loch Ness, UK",Playa,Gratis,Playa al inicio del Loch Ness; Dores Inn con vista
Highlands,Falls of Foyers,Solo mapeado,"Falls of Foyers, Loch Ness, UK",Naturaleza,Gratis,Cascadas en garganta boscosa; 1h; orilla sur
Highlands,Culloden Battlefield,Quiero ir,"Culloden Battlefield, Inverness, UK",Sitio histórico,~£14,Batalla de 1746; centro de visitantes muy emotivo
Highlands,Clava Cairns,Solo mapeado,"Clava Cairns, Inverness, UK",Sitio histórico,Gratis,Cairns funerarios de 4000 años; inspiración de Outlander
Highlands,Fort George,Solo mapeado,"Fort George, Inverness, UK",Sitio histórico,~£14,Fortaleza s.XVIII mejor conservada de Europa; Explorer Pass
Highlands,Cawdor Castle,Solo mapeado,"Cawdor Castle, UK",Castillo,~£16.50,El castillo de Macbeth; s.XIV-XVII habitado
Highlands,Chanonry Point,Quizás,"Chanonry Point, Fortrose, UK",Naturaleza,Gratis,Delfines desde la orilla; llegar 1-2h antes de marea alta
Highlands,Glen Affric,Quizás,"Glen Affric, UK",Paisaje,Gratis,De los valles más hermosos; pinos caledonios; 1-3h
Highlands,Cairngorms / Aviemore,Quizás,"Aviemore, UK",Parque nacional,~£20 góndola,Parque más grande de GB; Rothiemurchus
Highlands,Rogie Falls,Quizás,"Rogie Falls, Strathpeffer, UK",Naturaleza,Gratis,Salmones saltando en agosto; 1h fácil
Highlands,Corrieshalloch Gorge,Solo mapeado,"Corrieshalloch Gorge, UK",Naturaleza,Gratis,Garganta de 1km con Falls of Measach; puente colgante
Highlands,Killiecrankie,Solo mapeado,"Killiecrankie, Pitlochry, UK",Sitio histórico,Gratis,Garganta de batalla jacobita 1689; 30-45 min
Highlands,Pitlochry,Solo mapeado,"Pitlochry, UK",Pueblo,,Pueblo victoriano; Edradour Distillery; escalera de salmones
Highlands,Blair Castle,Solo mapeado,"Blair Castle, UK",Castillo,~£12-15,Castillo blanco del Duke of Atholl
Highlands,Dunkeld,Solo mapeado,"Dunkeld, UK",Pueblo,Gratis,Pueblo sobre el Tay; catedral medieval; Birnam Oak
Highlands,Stirling Castle,Solo mapeado,"Stirling Castle, UK",Castillo,~£16.50,Tan importante como Edinburgh Castle; menos concurrido
Highlands,The Kelpies,Solo mapeado,"The Kelpies, Falkirk, UK",Escultura,Gratis,Cabezas de caballo de 30m; fotogénicas al atardecer
Highlands,Falkirk Wheel,Solo mapeado,"Falkirk Wheel, UK",Sitio,Gratis exterior,Único botalift rotatorio del mundo
Highlands,Edradour Distillery,Quizás,"Edradour Distillery, Pitlochry, UK",Destilería,~£12-15,La destilería tradicional más pequeña de Escocia
Highlands,Tomatin Distillery,Quizás,"Tomatin Distillery, UK",Destilería,~£12,Highland maltada; en la A9 hacia el sur
Ámsterdam,Anne Frank House,Quiero ir,"Anne Frank House, Amsterdam",Museo,€16.50,Anexo secreto; reservar 6 semanas antes (martes 10:00 CET)
Ámsterdam,Rijksmuseum,Solo mapeado,"Rijksmuseum, Amsterdam",Museo,~€22.50,Ronda Nocturna de Rembrandt y Vermeers; reservar slot
Ámsterdam,Van Gogh Museum,Solo mapeado,"Van Gogh Museum, Amsterdam",Museo,€25-27,400+ obras cronológicas; reservar con semanas
Ámsterdam,Stedelijk Museum,Solo mapeado,"Stedelijk Museum, Amsterdam",Museo,~€22.50,Arte moderno y diseño holandés s.XX
Ámsterdam,Rembrandt House,Solo mapeado,"Rembrandt House Museum, Amsterdam",Museo,~€17.50,Casa-taller de Rembrandt reconstruida
