ciudad,nombre,prioridad,lugar_busqueda,tipo,precio,notas
Grindelwald,Bachalpsee,Quizás,"Bachalpsee, Grindelwald",Trekking,Gratis (First CHF 72),Lago que espeja el macizo; <1h desde First; la foto de la región
Grindelwald,First (Cliff Walk),Quizás,Grindelwald First,Teleférico,CHF 72,Pasarela sobre el precipicio; wow sin trekking; puede cerrar por viento
Grindelwald,First Flieger / Glider,Solo mapeado,"First Flieger, Grindelwald",Adrenalina,Suplemento,Tirolesa y ala que sobrevuela la ladera
Grindelwald,Jungfraujoch,Solo mapeado,Jungfraujoch,Excursión,~CHF 201-240,Estación de tren más alta de Europa; glaciar Aletsch; solo con cielo azul
Grindelwald,Grindelwald pueblo,Solo mapeado,Grindelwald,Pueblo,Gratis,Pueblo alpino real bajo el Eiger; chalets de madera
Grindelwald,Grindelwald Terminal,Solo mapeado,Grindelwald Terminal,Sitio,,Mega-estación; salen Eiger Express y Männlichen
Grindelwald,Pfingstegg,Solo mapeado,"Pfingstegg, Grindelwald",Teleférico,~CHF 32,Teleférico corto y barato; balcón sobre el glaciar
Grindelwald,Männlichen,Solo mapeado,Männlichen,Mirador,,Panoramaweg Männlichen-Kleine Scheidegg; Eiger enfrente
Grindelwald,Kleine Scheidegg,Solo mapeado,Kleine Scheidegg,Mirador,,Fin del Panoramaweg; base del tren al Jungfraujoch
Grindelwald,Eigergletscher (Eiger Trail),Solo mapeado,Eigergletscher,Trekking,,Eiger Trail al pie de la cara norte; ~2.5-3h
Grindelwald,Grosse Scheidegg,Solo mapeado,Grosse Scheidegg,Trekking,Gratis/PostBus,Paso alpino entre Grindelwald y Meiringen
Grindelwald,Faulhorn,Solo mapeado,Faulhorn,Trekking,,Punto alto del gran trekking First-Faulhorn-Schynige
Interlaken,Harder Kulm,Solo mapeado,"Harder Kulm, Interlaken",Mirador,~CHF 40,Top of Interlaken; Two Lakes Bridge; subir a pie y bajar en funicular
Interlaken,Höhematte / Höheweg,Quizás,"Höhematte, Interlaken",Paseo,Gratis,Prado central con vista al Jungfrau; avenida principal
Interlaken,Unterseen,Quizás,"Unterseen, Interlaken",Casco histórico,Gratis,Barrio s.XVII con alma; iglesia y casas de madera
Interlaken,Paseo del río Aare,Solo mapeado,"Aare, Interlaken",Paseo,Gratis,Agua turquesa glaciar entre los dos lagos
Interlaken,Iseltwald (Lago de Brienz),Solo mapeado,Iseltwald,Lago,Gratis,Muelle famoso de Crash Landing on You; lago turquesa
Interlaken,Giessbachfälle,Solo mapeado,"Giessbachfälle, Brienz",Naturaleza,,Cascada con funicular histórico y Grandhotel
Interlaken,Spiez (Lago de Thun),Solo mapeado,Spiez,Pueblo,Gratis,Castillo sobre viñedos; barco Eurail
Interlaken,St. Beatus-Höhlen,Solo mapeado,St. Beatus-Höhlen,Cueva,,Cuevas con río subterráneo; plan B lluvia perfecto
Interlaken,Ballenberg,Solo mapeado,Ballenberg Freilichtmuseum,Museo,CHF 32,Pueblo suizo reconstruido; artesanos en vivo; plan día gris
Interlaken,Brienz,Solo mapeado,Brienz,Pueblo,Gratis,Pueblo de talladores; tren de vapor al Brienzer Rothorn
Interlaken,Schynige Platte,Quizás,Schynige Platte,Trekking,CHF 72,El trekking 10/10; tren desde Wilderswil; abierto hasta 25 oct
Interlaken,Oeschinensee,Quizás,"Oeschinensee, Kandersteg",Lago,,El lago alpino más azul; solo con cielo azul; reserva de franja
Interlaken,Berna,Quizás,"Bern, Switzerland",Ciudad,Gratis,Capital medieval a 40 min; Zytglogge
Lauterbrunnen,Valle de Lauterbrunnen,Quiero ir,Lauterbrunnen,Paisaje,Gratis,El valle de las 72 cascadas; inspiración de Rivendell
Lauterbrunnen,Staubbach Falls,Quiero ir,"Staubbach Falls, Lauterbrunnen",Naturaleza,Gratis,Cascada de 297m de caída libre sobre el pueblo
Lauterbrunnen,Trümmelbachfälle,Quizás,Trümmelbachfälle,Naturaleza,CHF 16,Cascadas glaciares DENTRO de la montaña; el mejor plan de lluvia
Lauterbrunnen,Stechelberg,Quizás,Stechelberg,Paisaje,Gratis,Fondo del valle; sendero llano por prados y cascadas
Lauterbrunnen,Mürren,Quizás,Mürren,Pueblo,Gratis,Pueblo sin autos en la roca (1638m); vistas al Eiger-Mönch-Jungfrau
Lauterbrunnen,Gimmelwald,Quizás,Gimmelwald,Pueblo,Gratis,Aldea casi intacta; la joya oculta; a pie desde Mürren 30-45 min
Lauterbrunnen,Wengen,Quizás,Wengen,Pueblo,Gratis,Pueblo sin autos del otro lado; puerta a Männlichen
Lauterbrunnen,Schilthorn / Piz Gloria,Solo mapeado,Schilthorn,Teleférico,CHF 91.40,Cima 360 con restaurante giratorio; locación de James Bond
Lauterbrunnen,Birg (Thrill Walk),Solo mapeado,"Birg, Schilthorn",Mirador,Incluido,Pasarela y piso de vidrio pegados al acantilado
Lauterbrunnen,Allmendhubel,Solo mapeado,"Allmendhubel, Mürren",Trekking,,Mountain View Trail; sendero-balcón con Eiger enfrente
Lucerna,Kapellbrücke,Solo mapeado,"Kapellbrücke, Luzern",Sitio histórico,Gratis,El puente de madera cubierto más antiguo de Europa (s.XIV)
Lucerna,Altstadt de Lucerna,Solo mapeado,"Altstadt, Luzern",Casco histórico,Gratis,Muralla
Lucerna,Lion Monument,Solo mapeado,"Löwendenkmal, Luzern",Sitio histórico,Gratis,El León moribundo; la escultura más triste del mundo (Mark Twain)
Lucerna,Paseo del lago,Solo mapeado,"Vierwaldstättersee, Luzern",Paseo,Gratis,Promenade con vista a las montañas desde la estación
Lucerna,Museggmauer,Solo mapeado,"Museggmauer, Luzern",Sitio histórico,Gratis,Torres medievales para subir; temporada abr-nov
Lucerna,Jesuitenkirche,Solo mapeado,"Jesuitenkirche, Luzern",Iglesia,Gratis,Iglesia barroca sobre el Reuss
Lucerna,Monte Pilatus,Solo mapeado,"Mount Pilatus, Luzern",Excursión,CHF 75-92,Tren de cremallera más empinado del mundo; solo con noche en Lucerna
Lucerna,Monte Rigi,Solo mapeado,Rigi,Excursión,,La reina de las montañas; tren + barco; día completo
