ciudad,nombre,prioridad,lat,lng,lugar_busqueda,tipo,precio,descripcion,url,reserva,mejor_momento
Friburgo,Titisee,Quizás,47.901149,8.149973,"Titisee, Freiburg im Breisgau, Germany",Lago,Gratis,"El lago más famoso de la Selva Negra; baño, barcas de alquiler y paseo por el borde; el pueblo junto al lago es turístico pero el lago en sí es bello; 30min desde Friburgo en tren directo — ""; a mediodía en agosto es el peor; en septiembre más tranquilo"" (r/germany)",,No necesaria,Ir temprano o fuera de hora pico para disfruta
Friburgo,Schluchsee,Solo mapeado,47.817489,8.151514,"Schluchsee, Freiburg im Breisgau, Germany",Lago,Gratis,"El lago más grande y más tranquilo que Titisee; agua de montaña para nadar en verano; menos tiendas de recuerdos y más silencio; 40min en bus desde Friburgo — ""si tuvieras que elegir entre Titisee y Schluchsee, los locales eligen siempre Schluchsee"" (múltiples posts r/germany)",,No necesaria,
Friburgo,Staufen im Breisgau,Solo mapeado,47.883211,7.732926,"Staufen im Breisgau, Freiburg im Breisgau, Germany",Pueblo,Gratis,"El pueblo de los viñedos más cercano a Friburgo (15min en tren); calles medievales, bodegas abiertas para cata en septiembre (vendimia), el mejor paseo tranquilo si no se quiere naturaleza pero sí vino y pueblo",,No necesaria,
Friburgo,Breisach am Rhein,Solo mapeado,48.029142,7.580612,"Breisach am Rhein, Freiburg im Breisgau, Germany",Pueblo,€5,El pueblo sobre el Rin con la catedral medieval en lo alto; desde Friburgo en 20min; cruzar el puente al lado alemán con vistas al viñedo del Kaiserstuhl,,,
Grindelwald,Bachalpsee,Quizás,46.669581,8.020953,"Bachalpsee, Grindelwald, Switzerland",Trekking,Gratis,El lago alpino que espeja el macizo; <1h de caminata fácil desde la estación First; en día claro es la imagen más fotogénica de la región; ida y vuelta ~2–3h con calma; GRATIS una vez arriba,,No necesaria,
Grindelwald,First (Cliff Walk),Quizás,46.660800,8.053600,"Grindelwald First, Grindelwald, Switzerland",Teleférico,CHF 72,"Pasarela sobre el precipicio y puente colgante desde la estación First; el ""wow inmediato"" sin trekking; incluido en el ticket; puede cerrar por viento (verificar)",,,
Grindelwald,First Flieger / Glider,Solo mapeado,46.658817,8.059846,"First Flieger, Grindelwald, Switzerland",Adrenalina,Suplemento,"Tirolesa y ""ala"" que sobrevuela la ladera hacia Schreckfeld; adrenalina con vista (suplemento aparte)",,,
Grindelwald,Jungfraujoch,Solo mapeado,46.547496,7.982709,"Jungfraujoch, Grindelwald, Switzerland",Excursión,CHF 201-240 (≈€215),"La estación de tren más alta de Europa; glaciar Aletsch, Palacio de Hielo, Sphinx observatory; desde Grindelwald es el acceso más directo vía Grindelwald Terminal → Eiger Express (15 min a Eigergletscher) + tren final (~25 min); ~CHF 201–240 return (−25% Eurail sobre el tramo pagado; 25% con STP); polémico: muy caro y masivo — vale solo con clima perfecto y si el glaciar/nieve es la prioridad",,,
Grindelwald,Grindelwald pueblo,Solo mapeado,46.624273,8.036746,"Grindelwald, Switzerland",Pueblo,Gratis,"Pueblo alpino real bajo el Eiger; panadería con vista, chalets de madera; GRATIS",,No necesaria,
Grindelwald,Grindelwald Terminal,Solo mapeado,46.623973,8.020877,"Grindelwald Terminal, Grindelwald, Switzerland",Sitio,,La mega-estación (2020) desde donde salen Eiger Express y el teleférico a Männlichen; útil como punto de partida,,,
Grindelwald,Pfingstegg,Solo mapeado,46.621224,8.057985,"Pfingstegg, Grindelwald, Switzerland",Teleférico,CHF 32 (≈€34),Salida barata para un balcón sobre el glaciar inferior sin comprometer un día entero; buen plan de tarde o clima dudoso arriba,,,
Grindelwald,Männlichen,Solo mapeado,46.611125,7.943606,"Männlichen, Grindelwald, Switzerland",Mirador,Gratis,"Muy fácil, 1,5 hs. Telecabina ~22 CHF. Termina muy cerca del inicio del Eiger Trail",,No necesaria,
Grindelwald,Kleine Scheidegg,Solo mapeado,46.586439,7.961675,"Kleine Scheidegg, Grindelwald, Switzerland",Mirador,Gratis,Fácil; ~1.5h; Teleférico Männlichen desde Grindelwald Terminal (aparte); 10/10; Sendero icónico con Eiger/Mönch/Jungfrau enfrente todo el camino,,No necesaria,
Grindelwald,Eigergletscher (Eiger Trail),Solo mapeado,46.575987,7.975562,"Eigergletscher, Grindelwald, Switzerland",Trekking,,Moderado; ~2.5–3h; Eiger Express / tren a Eigergletscher (aparte); 10/10; Al pie mismo de la cara norte del Eiger; sobrecogedor,,,
Grindelwald,Grosse Scheidegg,Solo mapeado,46.655878,8.101867,"Grosse Scheidegg, Grindelwald, Switzerland",Trekking,Gratis,Mod-Intenso; 3–4h a pie; Gratis a pie / PostBus; 8/10; Paso alpino clásico entre Grindelwald y Meiringen,,No necesaria,
Grindelwald,Faulhorn,Solo mapeado,46.674933,7.999324,"Faulhorn, Grindelwald, Switzerland",Trekking,,"El gran trekking 10/10 en sentido inverso (6–7h, ver abajo)",,,
Interlaken,Harder Kulm,Solo mapeado,46.699682,7.856141,"Harder Kulm, Interlaken, Switzerland",Mirador,Gratis,"El mirador clásico sobre los dos lagos (Thun + Brienz) con el Two Lakes Bridge (plataforma con piso de vidrio) y vista al Eiger-Mönch-Jungfrau; subir a pie (8, 2 km / ~1, 5–2h por el bosque en zigzag, GRATIS) o en funicular (~CHF 40 ida+vuelta, verificar; opera 3 abr–29 nov 2026, cada 30 min); ideal: subir a pie y bajar en funicular",,No necesaria,
Interlaken,Höhematte / Höheweg,Quizás,46.686015,7.857335,"Höhematte, Interlaken, Switzerland",Paseo,Gratis,El gran prado central de Interlaken con vista abierta al Jungfrau; la avenida Höheweg es el paseo principal; GRATIS,,No necesaria,
Interlaken,Unterseen,Quizás,46.687165,7.849637,"Unterseen, Interlaken, Switzerland",Casco histórico,Gratis,"El barrio del s. XVII justo al oeste, con la iglesia y casas de madera; el rincón con ""alma"" que a Interlaken se le suele negar; GRATIS",,No necesaria,
Interlaken,Paseo del río Aare,Solo mapeado,46.688831,7.855717,"Aare, Interlaken, Switzerland",Paseo,Gratis,"Entre los dos lagos, agua turquesa glaciar; GRATIS",,No necesaria,
Interlaken,Iseltwald (Lago de Brienz),Solo mapeado,46.700176,7.941531,"Iseltwald, Interlaken, Switzerland",Lago,Gratis,Lago turquesa eléctrico al este; Iseltwald (el muelle famoso de la serie coreana *Crash Landing on You*) y Giessbachfälle (cascada con funicular histórico y Grandhotel); barco Eurail; GRATIS el paseo (funicular Giessbach aparte),,No necesaria,
Interlaken,Giessbachfälle,Solo mapeado,46.733552,8.023824,"Giessbachfälle, Interlaken, Switzerland",Naturaleza,Gratis,Lago turquesa eléctrico al este; Iseltwald (el muelle famoso de la serie coreana *Crash Landing on You*) y Giessbachfälle (cascada con funicular histórico y Grandhotel); barco Eurail; GRATIS el paseo (funicular Giessbach aparte),,No necesaria,
Interlaken,Spiez (Lago de Thun),Solo mapeado,46.691947,7.677466,"Spiez, Interlaken, Switzerland",Pueblo,Gratis,"Al oeste; castillo de Spiez sobre viñedos, castillo de Thun; barco Eurail; parada suave o plan B",,No necesaria,
Interlaken,St. Beatus-Höhlen,Solo mapeado,46.684671,7.782307,"St. Beatus-Höhlen, Interlaken, Switzerland",Cueva,,Cuevas con río subterráneo sobre el lago Thun; plan B lluvia perfecto; bus/barco desde Interlaken,,,
Interlaken,Ballenberg,Solo mapeado,46.748762,8.084871,"Ballenberg Freilichtmuseum, Interlaken, Switzerland",Museo,CHF 32 (≈€34),"Pueblo suizo reconstruido con edificios históricos de todo el país, artesanos en vivo; a ~30 min hacia Brienz; CHF 32 adulto (verificar en ballenberg.ch); gran plan de día gris",,,
Interlaken,Brienz,Solo mapeado,46.756000,8.030301,"Brienz, Interlaken, Switzerland",Pueblo,Gratis,Pueblo de talladores de madera a orillas del lago; base del tren de vapor histórico al Brienzer Rothorn (verificar temporada),,No necesaria,
Interlaken,Schynige Platte,Quizás,46.651443,7.909311,"Schynige Platte, Interlaken, Switzerland",Trekking,CHF 72 (≈€78),"El trekking 10/10 de la región (6–7h); el tren de subida sale de Wilderswil, a un paso de Interlaken → esta base es excelente punto de partida; CHF 72 tren subida; abierto hasta 25 oct 2026; no hacer con clima incierto",,,
Interlaken,Oeschinensee,Quizás,46.498495,7.726843,"Oeschinensee, Interlaken, Switzerland",Lago,Gratis,El lago alpino más azul de los Berneses; ~1h–1h20 en tren + góndola; ir solo con cielo azul (el color cambia radicalmente); desde 2026 suele pedir reserva de franja horaria para la góndola · webcam,https://oeschinensee.ch/reservation,Obligatoria,
Lauterbrunnen,Valle de Lauterbrunnen,Quiero ir,46.593904,7.907802,"Lauterbrunnen, Switzerland",Paisaje,Gratis,"""El valle de las 72 cascadas""; paredes verticales de 300 m con agua cayendo; el modelo que inspiró el Valle de Rivendell a Tolkien (folclore literario, no cita textual probada); GRATIS recorrerlo a pie o en bici",,No necesaria,
Lauterbrunnen,Trümmelbachfälle,Quizás,46.572260,7.911818,"Trümmelbachfälle, Lauterbrunnen, Switzerland",Naturaleza,CHF 16 (≈€17),"Cascadas glaciares DENTRO de la montaña (drena el agua del Eiger, Mönch y Jungfrau); 10 cataratas interiores hasta 20.000 l/s; el mejor plan si llueve (100% interior); CHF 16; bus ~10–15 min desde Lauterbrunnen",,No necesaria,
Lauterbrunnen,Stechelberg,Quizás,46.545016,7.902199,"Stechelberg, Lauterbrunnen, Switzerland",Paisaje,Gratis,Sendero llano por prados y cascadas hasta el fondo del valle; suave y espectacular; GRATIS,,No necesaria,
Lauterbrunnen,Mürren,Quizás,46.559140,7.892879,"Mürren, Lauterbrunnen, Switzerland",Pueblo,Gratis,"Pueblo alpino sin autos en la roca (1.638 m); vistas frontales al Eiger-Mönch-Jungfrau; acceso por teleférico Grütschalp + tren, o por el nuevo teleférico desde Stechelberg; el más ""auténtico"" con servicios; café con vista imbatible; GRATIS callejear (transporte cubierto por Eurail hasta Mürren)",,No necesaria,
Lauterbrunnen,Gimmelwald,Quizás,46.547352,7.891651,"Gimmelwald, Lauterbrunnen, Switzerland",Pueblo,Gratis,"Aldea casi intacta debajo de Mürren; la ""joya oculta"" más citada de la región; casas-granero centenarias, cero turismo organizado; se puede bajar a pie desde Mürren (~30–45 min); GRATIS",,No necesaria,
Lauterbrunnen,Wengen,Quizás,46.605441,7.921724,"Wengen, Lauterbrunnen, Switzerland",Pueblo,Gratis,El pueblo sin autos del otro lado del valle (ladera norte); balcón sobre Lauterbrunnen; puerta a Männlichen y Kleine Scheidegg; tren cremallera desde Lauterbrunnen (Eurail cubre hasta Wengen); GRATIS el pueblo,,No necesaria,
Lauterbrunnen,Schilthorn / Piz Gloria,Solo mapeado,46.557282,7.835174,"Schilthorn, Lauterbrunnen, Switzerland",Teleférico,CHF 91.40 (≈€99),"Cima 360° con restaurante giratorio y la locación de James Bond (*Al servicio secreto de Su Majestad*); desde Lauterbrunnen vía Stechelberg o Mürren; el nuevo teleférico Stechelberg–Mürren (dic 2024) es el más empinado del mundo (gradiente 159, 4%); CHF 91.40 return desde Mürren / CHF 115 desde Stechelberg; con Eurail ~−25%; marginal según foros vs Schynige, pero el trayecto ya es la atracción",https://schilthorn.ch/en/Tickets,Recomendada,
Lauterbrunnen,Allmendhubel,Solo mapeado,46.566276,7.888915,"Allmendhubel, Lauterbrunnen, Switzerland",Trekking,,"El más famoso del lado oeste del valle; mira la cara norte del Eiger. Media, 2-2,5 hs. ~20 CHF de teleférico + funicular Allmendhubel",,,
Lucerna,Kapellbrücke,Solo mapeado,47.051543,8.307429,"Kapellbrücke, Luzern, Switzerland",Sitio histórico,Gratis,"El puente de madera cubierto más antiguo de Europa (s. XIV) sobre el río Reuss, con paneles pintados en el techo y la torre del agua octagonal al lado; el ícono de la ciudad; GRATIS",,No necesaria,
Lucerna,Museggmauer,Solo mapeado,47.055135,8.307193,"Museggmauer, Luzern, Switzerland",Sitio histórico,Gratis,Torres medievales que se pueden subir con vista sobre los tejados (temporada abr–nov); GRATIS,,No necesaria,
Lucerna,Jesuitenkirche,Solo mapeado,47.050438,8.305149,"Jesuitenkirche, Luzern, Switzerland",Iglesia,Gratis,"Iglesia barroca sobre el Reuss, junto al Kapellbrücke; GRATIS",,No necesaria,
Lucerna,Monte Rigi,Solo mapeado,47.056678,8.485265,"Rigi, Luzern, Switzerland",Excursión,,"""La reina de las montañas""; tren + barco; también excursión de día completo",,,
Innsbruck,Goldenes Dachl (Tejadillo de Oro),Solo mapeado,47.268600,11.393300,"Goldenes Dachl, Innsbruck, Austria",Sitio histórico,Gratis,El símbolo de Innsbruck; balcón cubierto con 2.657 tejas de cobre dorado mandado construir por el Emperador Maximiliano I en el s. XV; las fachadas pintadas de Helblinghaus y Katzunghaus justo al frente son lo más fotogénico de la ciudad: GRATIS (ver desde la plaza),,No necesaria,
Innsbruck,Altstadt (callejeo),Quiero ir,47.271057,11.395455,"Altstadt, Innsbruck, Austria",Sitio histórico,Gratis,"El casco medieval es pequeño y muy caminable; las arcadas (Lauben) recuerdan a Berna; Hofgasse, Herzog-Friedrich-Strasse y Kiebachgasse son las calles principales: GRATIS",,No necesaria,
Innsbruck,María-Theresien-Strasse,Quiero ir,47.266117,11.393969,"María-Theresien-Strasse, Innsbruck, Austria",Sitio histórico,Gratis,"La arteria peatonal principal de la ciudad moderna; la Annasäule (columna de la Virgen, 1706) en el centro; con las montañas al fondo es la foto más ""Innsbruck"": GRATIS",,No necesaria,
Innsbruck,Río Inn + Paseo Innkai,Solo mapeado,47.268500,11.390000,"Río Inn Paseo Innkai, Innsbruck, Austria",Sitio histórico,Gratis,Las vistas del río verde con las montañas nevadas al fondo y las casas de colores son la fotografía clásica de Innsbruck; el puente de la Innbrücke da el mejor ángulo: GRATIS,,No necesaria,
Innsbruck,Hofburg Innsbruck,Quizás,47.268864,11.394899,"Hofburg Innsbruck, Innsbruck, Austria",Sitio histórico,€9-12,El palacio imperial de los Habsburgo en Innsbruck; la Sala de los Gigantes (Riesensaal) con los retratos de la familia de María Teresa; ~€9-12 adulto (verificar en hofburg-innsbruck.at),,,
Innsbruck,Nordkette — Top of Innsbruck,Quizás,47.312000,11.380000,"Nordkette — Top of Innsbruck, Innsbruck, Austria",Sitio,€39.50-44,El sistema de teleférico/funicular que sale literalmente del centro de la ciudad y sube a 2.334m (Hafelekar); vistas de 360° sobre Innsbruck y los Alpes desde la cumbre; el panorama ciudad-montaña es de los más únicos de Europa; ~€39.50-44 adulto ida+vuelta hasta Hafelekar; solo hasta Seegrube (1.905m): ~€31 ida+vuelta; descuento 20% si subes,https://nordkette.com/en/service/tariffs/,Recomendada,Después de las 15h
Innsbruck,Patscherkofel + Zirbenweg,Quizás,47.209000,11.460000,"Patscherkofel Zirbenweg, Innsbruck, Austria",Sitio,,"La alternativa para quienes prefieren trekking tranquilo sobre miradores; el Zirbenweg es un sendero panorámico a ~2.000m, ""fácil"" y muy escénico; menos masificado que la Nordkette; requiere bus + teleférico (logística extra); verificar precio en patscherkofelbahn.at",,,
Innsbruck,Bergisel Ski Jump,Solo mapeado,47.248900,11.399400,"Bergisel Ski Jump, Innsbruck, Austria",Museo,€12,El trampolín de salto de esquí diseñado por Zaha Hadid (2002); la arquitectura ya vale la visita; el mirador en la cima da vistas únicas sobre Innsbruck; usado en 4 Juegos Olímpicos; ~€12 adulto,,,
Innsbruck,Alpenzoo (Alpenzoo Innsbruck),Quizás,47.282371,11.400626,"Alpenzoo, Innsbruck, Austria",Museo,€14,"El zoológico de animales alpinos más alto del mundo (750m); osos, linces, ciervos, buitres, águilas; muy bien curado y tranquilo; ~€14 adulto / ~€7 niños",,,
Innsbruck,Castillo Ambras (Schloss Ambras),Solo mapeado,47.255674,11.429931,"Schloss Ambras, Innsbruck, Austria",Museo,€16,El castillo renacentista del Archiduque Fernando II (s. XVI) en las afueras de la ciudad; la Kammergalerie con armas y armaduras es espectacular; la colección de retratos de los Habsburgo; €16 online / €18 taquilla (temporada abr-oct); menores 19 gratis,https://www.schlossambras-innsbruck.at/en/visit-tickets,Recomendada,
Innsbruck,Tirol Panorama + Kaiserjäger Museum,Solo mapeado,47.250872,11.400937,"Tirol Panorama, Innsbruck, Austria",Museo,€12,El museo panorámico de la historia tirolesa con una pintura circular de 1.000m² de la Batalla de 1809; en el Bergisel (misma colina que el ski jump); ~€12 adulto (verificar),,,
Innsbruck,Swarovski Kristallwelten (Wattens),Solo mapeado,47.293000,11.590000,"Swarovski Kristallwelten, Innsbruck, Austria",Museo,€22,"El ""mundo de cristal"" de Swarovski a 20 min en bus desde Innsbruck; más parque temático/instalación artística que museo; ~€22 adulto — para quienes les llama (verificar en kristallwelten.com)",,,
Viena,Palacio Schönbrunn,Quiero ir,48.184989,16.311568,"Schönbrunn Palace, Wien, Austria",Monumento,Gratis,"""Versalles vienés""; 1676 habitaciones (solo ves 40); jardines gratuitos todo el año — Imperial Tour (22 salas): €22 / Grand Tour (40 salas + audioguía): ~€28 / Classic Pass (Grand Tour + Gloriette + laberinto + jardines): ~€32 / Gold Pass (todo): ~€45; reservar online para evitar filas; las vistas desde la Gloriette valen el paseo aunque no pagues el palacio",https://www.schoenbrunn.at/en/all-tickets/palace-ticket,Recomendada,
Viena,Palacio Belvedere (Upper Belvedere),Quiero ir,48.191541,16.380888,"Upper Belvedere, Wien, Austria",Monumento,Gratis,"""El Beso"" de Klimt está aquí; jardines entre Upper y Lower gratuitos — €19.50 online / €21 taquilla; reducido €15.50; reserva con hora asignada obligatoria — los jardines barrocos entre los dos palacios son imprescindibles aunque no pagues",https://www.belvedere.at/en/go/tickets,No necesaria,
Viena,Hofburg,Quiero ir,48.206329,16.365626,"Hofburg Palace, Wien, Austria",Sitio histórico,Gratis,"Palacio imperial en el centro; los patios (Burghof, Schweizerhof) y la Josefplatz son gratuitos; alas de pago: Apartamentos Imperiales + Museo Sisi + Colección Imperial de Plata (~€19.50, verificar en hofburg.at) — Reddit: si ya visitaron Schönbrunn y Belvedere, el Hofburg de pago es lo más prescindible; la fachada y el acceso a la Heldenplatz ya lo valen gratis",,No necesaria,
Viena,Schönbrunn — jardines y Gloriette,Quiero ir,48.177000,16.307500,"Gloriette, Wien, Austria",Parque,Gratis,Jardines siempre gratis; la Gloriette (mirador en lo alto) tiene acceso libre; vista panorámica sobre Viena sin pagar un euro — imprescindible para cualquier presupuesto,,No necesaria,
Viena,Ringstrasse,Solo mapeado,48.202600,16.369500,"Ringstrasse, Wien, Austria",Sitio histórico,,"Bulevar circular con arquitectura imperial del s. XIX (Ópera, Parlamento, Burgtheater, Rathaus); caminar o tomar el tranvía 1/2 con ticket normal — el ""tour más barato de Viena""; el loop completo a pie lleva 2h",,,
Viena,Graben & Kohlmarkt,Quiero ir,48.208500,16.369500,"Graben, Wien, Austria",Sitio histórico,Gratis,Calles peatonales elegantes del centro; la Columna de la Peste (Pestsäule) en Graben es una de las mejores esculturas barrocas al aire libre de Europa; gratis,,No necesaria,
Viena,Karlskirche,Solo mapeado,48.198279,16.371895,"Karlskirche, Wien, Austria",Sitio histórico,€9,"Iglesia barroca más importante de Viena; el gran secreto es el ascensor panorámico que sube 32m hasta los frescos de la cúpula (cara a cara con los frescos de Rottmayr, experiencia única en Europa): ~€9 adulto incluye iglesia + panorama lift + Museo Borromeo; jueves tarde suele ser más tranquilo",,,Llegar antes de las 11am
Viena,Secession,Solo mapeado,48.200499,16.366200,"Secession, Wien, Austria",Sitio histórico,€13,Edificio clave del Jugendstil vienés (1897); en el sótano el Beethoven Fries de Klimt (35m de largo) es una obra maestra: €13 adulto (incluye Beethovenfries) / €7 solo exhibición temporal — gratis algunos miércoles según programación; verificar en secession.at,https://secession.at/information_tickets,Recomendada,
Viena,Hofburg exterior + Heldenplatz,Quiero ir,48.206000,16.363500,"Heldenplatz, Wien, Austria",Plaza,Gratis,Gratis; la plaza frente al Hofburg y el pasaje hasta la Michaelerplatz es uno de los paseos más impresionantes de Viena sin pagar nada; la estatua ecuestre de María Teresa en el eje Ringstrasse también,,No necesaria,
Viena,Naschmarkt,Quiero ir,48.198500,16.363000,"Naschmarkt, Wien, Austria",Mercado,Gratis,El mercado más famoso de Viena; 120+ puestos; comida del mundo; sábados: Flohmarkt (mercado de pulgas) que es el mejor momento para ir — ver sección de hacks más abajo para no caer en trampas,,No necesaria,
Viena,Café Central,Quizás,48.210367,16.365387,"Café Central, Wien, Austria",Café,€8-12,"El más famoso; Freud, Trotsky y Schnitzler venían aquí; arquitectura neo-gótica impresionante; turístico pero vale la visita; café + pastel ~€8-12",,,
Viena,Café Sperl,Quizás,48.199838,16.361170,"Café Sperl, Wien, Austria",Café,,"Menos turístico, más auténtico; favorito de los locales desde 1880; ambiente bohemio; cerrado domingos",,,
Viena,Café Hawelka,Solo mapeado,48.207956,16.369805,"Café Hawelka, Wien, Austria",Café,,Bohemio y de artistas; Buchteln (bollos dulces nocturnos) famosos; sin wifi a propósito; uno de los ambientes más únicos de la ciudad,,,
Viena,Café Sacher,Solo mapeado,48.203837,16.370172,"Café Sacher, Wien, Austria",Café,€9,"Famoso por la Sachertorte original; turístico pero si querés la experiencia ""Sacher"" vale al menos una vez",,,
Viena,Demel,Solo mapeado,48.208605,16.367211,"Demel, Wien, Austria",Café,,Pastelería imperial cerca del Hofburg; menos saturada que Sacher; la vitrina de pasteles artesanales es un espectáculo en sí misma,,,
Viena,Riesenrad (noria gigante),Solo mapeado,48.216741,16.395909,"Wiener Riesenrad, Wien, Austria",Parque,€14.50,Icónica desde 1897; símbolo de la ciudad; €14.50 adulto / €6.50 niño; si el tiempo acompaña vale; cada gondola tiene historia,,No necesaria,
Viena,Wurstelprater,Solo mapeado,48.215609,16.399577,"Wurstelprater, Wien, Austria",Parque,Gratis,Parque de diversiones retro: gratis entrar; cada atracción se paga por separado; ambiente kitsch y único en Europa,,No necesaria,
Viena,Schweizerhaus,Solo mapeado,48.213921,16.401556,"Schweizerhaus, Wien, Austria",Parque,Gratis,Cervecería checa en el Prater famosa por el Stelze (codillo de cerdo); ambiente de jardín de verano; muy concurrido por locales en septiembre,,No necesaria,
