file,ciudad,nombre,lugar_busqueda,tipo,tolerancia_m,dist_m,resuelve_a,veredicto
europa_katia.csv,Cracovia,Nowa Huta,"Nowa Huta, Kraków, Poland",Barrio,800,6611,"Nowa Huta, Kraków, województwo małopolskie, Polska",FAIL
europa_katia.csv,Estrasburgo,Biblioteca Nacional y Universitaria,"Bibliothèque nationale et universitaire de Strasbourg, Strasbourg, France",Sitio histórico,200,,,FAIL
europa_katia.csv,Highlands,Cairngorm Mountain Gondola,"Cairngorm Mountain, Aviemore, UK",Teleférico,300,1923,"Cairngorm Mountain Rescue Team, Inverdruie, Aviemore, Highland, Alba / Scotland, PH22 1QH, United Kingdom",FAIL
europa_katia.csv,Nápoles,Via dei Tribunali,"Via dei Tribunali, Napoli, Italy",Calle,400,535,"Via dei Tribunali, Pendino, Municipalità 2, Napoli, Campania, 80187, Italia",SOFT
europa_katia.csv,Nápoles,Spaccanapoli,"Spaccanapoli, Napoli, Italy",Calle,400,531,"Piazzetta del Nilo, Porto, Municipalità 2, Napoli, Campania, 80130, Italia",SOFT
europa_katia.csv,Karst y Cuevas,Cuevas de Škocjan,"Škocjanske jame, Matavun, Slovenia",Cueva,300,568,"Škocjanske jame (izhod), Izhod / Exit 2-3, Škocjan, Matavun, Divača, Upravna enota Sežana, 6215, Slovenija",SOFT
europa_katia.csv,Valle del Soča,Kobarid,"Kobarid, Slovenia",Pueblo,1500,2499,"Kobarid, Slovenija",SOFT
europa_katia.csv,París,Avenue des Champs-Élysées,"Avenue des Champs-Élysées, Paris, France",Calle,400,475,"Avenue des Champs-Élysées, Quartier des Champs-Élysées, Paris 8e Arrondissement, Paris, Île-de-France, France ",SOFT
europa_katia.csv,Ámsterdam,Herengracht,"Herengracht, Amsterdam, Netherlands",Paseo,500,605,"Herengracht, Grachtengordel, Centrum, Amsterdam, Noord-Holland, Nederland, 1017 CE, Nederland",SOFT
europa_katia.csv,Grindelwald,Dorfstrasse,"Dorfstrasse, Grindelwald, Switzerland",Calle,400,730,"Dorfstrasse, Swiss Alp Resort, Grindelwald, Verwaltungskreis Interlaken-Oberhasli, Verwaltungsregion Oberland,",SOFT
europa_katia.csv,Budapest,Váci utca,"Váci utca, Budapest, Hungary",Calle,400,675,"Váci utca, Pest, Belváros, V. kerület, Budapest, Közép-Magyarország, 1052, Magyarország",SOFT
europa_katia.csv,Friburgo,Kaiser-Joseph-Straße,"Kaiser-Joseph-Straße, Freiburg im Breisgau, Germany",Calle,400,655,"Kaiser-Joseph-Straße, Altstadt-Mitte, Altstadt, Freiburg im Breisgau, Baden-Württemberg, 79098, Deutschland",SOFT
europa_katia.csv,Highlands,Rothiemurchus Forest,"Rothiemurchus, Aviemore, UK",Naturaleza,2000,2161,"Rothiemurchus, B970, Inverdruie, Aviemore, Highland, Alba / Scotland, PH22 1QW, United Kingdom",SOFT
europa_katia.csv,Roma,Vittoriano (Altare della Patria),"Altare della Patria, Roma, Italy",Monumento,200,0,"Altare della Patria, Scala dell'Arce Capitolina, Campitelli, Municipio Roma I, Roma, Roma Capitale, Lazio, 001",PASS
europa_katia.csv,Roma,Piazza Navona,"Piazza Navona, Roma, Italy",Plaza,250,0,"Piazza Navona, Parione, Municipio Roma I, Roma, Roma Capitale, Lazio, Italia",PASS
europa_katia.csv,Roma,Piazza Venezia,"Piazza Venezia, Roma, Italy",Plaza,250,0,"Piazza Venezia, Trevi, Municipio Roma I, Roma, Roma Capitale, Lazio, Italia",PASS
europa_katia.csv,Roma,Villa Borghese,"Villa Borghese, Roma, Italy",Parque,600,0,"Villa Borghese, Roma, Roma Capitale, Lazio, Italia",PASS
europa_katia.csv,Roma,Coliseo,"Colosseo, Roma, Italy",Sitio histórico,200,0,"Colosseo, Celio, Municipio Roma I, Roma, Roma Capitale, Lazio, 00184, Italia",PASS
europa_katia.csv,Roma,Foro Romano,"Foro Romano, Roma, Italy",Sitio histórico,200,113,"Forum Romanum, Via di San Teodoro, Campitelli, Municipio Roma I, Roma, Roma Capitale, Lazio, 00184, Italia",PASS
europa_katia.csv,Roma,Museo Palatino,"Museo Palatino, Roma, Italy",Museo,150,0,"Museo Palatino, Criptoportico Neroniano, Campitelli, Municipio Roma I, Roma, Roma Capitale, Lazio, 00184, Ital",PASS
europa_katia.csv,Roma,Basílica de Majencio,"Basilica di Massenzio, Roma, Italy",Sitio histórico,200,0,"Basilica di Massenzio, Piazza di Santa Francesca Romana, Campitelli, Municipio Roma I, Roma, Roma Capitale, La",PASS
europa_katia.csv,Roma,Santa Maria Maggiore,"Basilica di Santa Maria Maggiore, Roma, Italy",Iglesia,150,0,"Basilica di Santa Maria Maggiore, Piazza di Santa Maria Maggiore, Monti, Municipio Roma I, Roma, Roma Capitale",PASS
europa_katia.csv,Roma,Santa Maria della Vittoria,"Santa Maria della Vittoria, Roma, Italy",Iglesia,150,0,"Santa Maria della Vittoria, 17, Via Venti Settembre, Sallustiano, Municipio Roma I, Roma, Roma Capitale, Lazio",PASS
europa_katia.csv,Roma,Fontana di Trevi,"Fontana di Trevi, Roma, Italy",Monumento,200,0,"Fontana di Trevi, Piazza di Trevi, Trevi, Municipio Roma I, Roma, Roma Capitale, Lazio, 00187, Italia",PASS
europa_katia.csv,Roma,Campo de' Fiori,"Campo de' Fiori, Roma, Italy",Plaza,250,0,"Campo de' Fiori, Parione, Municipio Roma I, Roma, Roma Capitale, Lazio, Italia",PASS
europa_katia.csv,Roma,Parioli,"Parioli, Roma, Italy",Barrio,800,0,"Parioli, Municipio Roma II, Roma, Roma Capitale, Lazio, Italia",PASS
europa_katia.csv,Roma,Trastevere,"Trastevere, Roma, Italy",Barrio,800,0,"Trastevere, Municipio Roma I, Roma, Roma Capitale, Lazio, Italia",PASS
europa_katia.csv,Roma,Pirámide Cestia,"Piramide di Caio Cestio, Roma, Italy",Sitio histórico,200,0,"Piramide di Caio Cestio, Via Raffaele Persichetti, Testaccio, Municipio Roma I, Roma, Roma Capitale, Lazio, 00",PASS
europa_katia.csv,Roma,Arco de Constantino,"Arco di Costantino, Roma, Italy",Monumento,200,0,"Arco di Costantino, Piazza dell'Arco di Costantino, Campitelli, Municipio Roma I, Roma, Roma Capitale, Lazio, ",PASS
europa_katia.csv,Roma,Castel Sant'Angelo,"Castel Sant'Angelo, Roma, Italy",Castillo,250,0,"Castel Sant’Angelo, Lungotevere Vaticano, Borgo, Municipio Roma I, Roma, Roma Capitale, Lazio, 00193, Italia",PASS
europa_katia.csv,Roma,Galleria Borghese,"Galleria Borghese, Roma, Italy",Museo,150,0,"Galleria Borghese, 5, Piazzale Scipione Borghese, Pinciano, Municipio Roma II, Roma, Roma Capitale, Lazio, 001",PASS
europa_katia.csv,Roma,Monti,"Monti, Roma, Italy",Barrio,800,0,"Monti, Municipio Roma I, Roma, Roma Capitale, Lazio, 00184, Italia",PASS
europa_katia.csv,Roma,Manufactus,"Manufactus, Roma, Italy",Tienda,120,0,"Manufactus, 41, Piazza Navona, Parione, Municipio Roma I, Roma, Roma Capitale, Lazio, 00186, Italia",PASS
europa_katia.csv,Roma,Giardino degli Aranci,"Giardino degli Aranci, Roma, Italy",Mirador,150,72,"Giardino degli Aranci, Ripa, Municipio Roma I, Roma, Roma Capitale, Lazio, Italia",PASS
europa_katia.csv,Roma,Biblioteca Angelica,"Biblioteca Angelica, Roma, Italy",Sitio histórico,200,0,"Biblioteca Angelica, 8, Piazza di Sant'Agostino, Sant'Eustachio, Municipio Roma I, Roma, Roma Capitale, Lazio,",PASS
europa_katia.csv,Roma,Panteón de Roma,"Pantheon, Roma, Italy",Sitio histórico,200,0,"Pantheon, Piazza della Rotonda, Colonna, Municipio Roma I, Roma, Roma Capitale, Lazio, 00186, Italia",PASS
europa_katia.csv,Roma,Aventine Keyhole,"Villa del Priorato di Malta, Roma, Italy",Mirador,150,0,"Villa del Priorato di Malta, Lungotevere Aventino, Ripa, Municipio Roma I, Roma, Roma Capitale, Lazio, 00153, ",PASS
europa_katia.csv,Roma,Quartiere Coppedè,"Quartiere Coppedè, Roma, Italy",Barrio,800,0,"Quartiere Coppedè, Trieste, Municipio Roma II, Roma, Roma Capitale, Lazio, Italia",PASS
europa_katia.csv,Nápoles,Catedral de Nápoles,"Cattedrale di Santa Maria Assunta, Napoli, Italy",Catedral,150,0,"Cattedrale di Santa Maria Assunta, Vico Sedil Capuano, Rione Forcella, San Lorenzo, Municipalità 4, Napoli, Ca",PASS
europa_katia.csv,Nápoles,Cappella Sansevero,"Cappella Sansevero, Napoli, Italy",Iglesia,150,0,"Cappella Sansevero, 19;21, Via Francesco de Sanctis, Porto, Municipalità 2, Napoli, Campania, 80134, Italia",PASS
europa_katia.csv,Nápoles,San Domenico Maggiore,"Basilica di San Domenico Maggiore, Napoli, Italy",Iglesia,150,0,"Basilica di San Domenico Maggiore, Vico San Domenico Maggiore, Porto, Municipalità 2, Napoli, Campania, 80130,",PASS
europa_katia.csv,Nápoles,Santa Chiara,"Basilica di Santa Chiara, Napoli, Italy",Iglesia,150,0,"Basilica di Santa Chiara, Via Santa Chiara, Rione Carità, Porto, Municipalità 2, Napoli, Campania, 80100, Ital",PASS
europa_katia.csv,Nápoles,Gesù Nuovo,"Chiesa del Gesù Nuovo, Napoli, Italy",Iglesia,150,0,"Chiesa del Gesù Nuovo, Piazza del Gesù Nuovo, San Giuseppe, Municipalità 2, Napoli, Campania, 80100, Italia",PASS
europa_katia.csv,Nápoles,Via San Gregorio Armeno,"Via San Gregorio Armeno, Napoli, Italy",Calle,400,0,"Via San Gregorio Armeno, Rione Forcella, San Lorenzo, Municipalità 4, Napoli, Campania, 80138, Italia",PASS
europa_katia.csv,Nápoles,Napoli Sotterranea,"Napoli Sotterranea, Napoli, Italy",Sitio histórico,200,0,"Napoli Sotterranea, 69, Vicoletto I San Paolo, Rione Forcella, San Lorenzo, Municipalità 4, Napoli, Campania, ",PASS
europa_katia.csv,Nápoles,San Lorenzo Maggiore,"Basilica di San Lorenzo Maggiore, Napoli, Italy",Iglesia,150,0,"Basilica di San Lorenzo Maggiore, Vico Scorziata, Rione Forcella, San Lorenzo, Municipalità 4, Napoli, Campani",PASS
europa_katia.csv,Nápoles,Quartieri Spagnoli,"Quartieri Spagnoli, Napoli, Italy",Barrio,800,0,"Quartieri Spagnoli, Montecalvario, Municipalità 2, Napoli, Campania, 80132, Italia",PASS
europa_katia.csv,Nápoles,Via Toledo,"Via Toledo, Napoli, Italy",Calle,400,189,"Via Toledo, Rione Carità, San Giuseppe, Municipalità 2, Napoli, Campania, 80134, Italia",PASS
europa_katia.csv,Nápoles,Mural de Maradona,"Murales di Maradona, Napoli, Italy",Sitio histórico,200,0,"Murales di Diego Armando Maradona, Traversa Vicinale Paradiso, Verdolino, Soccavo, Municipalità 9, Camaldoli, ",PASS
europa_katia.csv,Nápoles,Rione Sanità,"Rione Sanità, Napoli, Italy",Barrio,800,0,"Rione Sanità, Stella, Municipalità 3, Napoli, Campania, 80137, Italia",PASS
europa_katia.csv,Nápoles,Catacumbas de San Gennaro,"Catacombe di San Gennaro, Napoli, Italy",Sitio histórico,200,0,"Catacombe di San Gennaro, Penninata S. Gennaro dei Poveri, Capodimonte, Stella, Municipalità 3, Napoli, Campan",PASS
europa_katia.csv,Nápoles,Lungomare Caracciolo,"Via Partenope, Napoli, Italy",Paseo,500,0,"Via Partenope, Pizzofalcone, San Ferdinando, Municipalità 1, Napoli, Campania, 80121, Italia",PASS
europa_katia.csv,Nápoles,Castel dell'Ovo,"Castel dell'Ovo, Napoli, Italy",Castillo,250,71,"Castel dell'Ovo, Piazzetta Marinari, Pizzofalcone, San Ferdinando, Municipalità 1, Napoli, Campania, 80132, It",PASS
europa_katia.csv,Nápoles,Castel Nuovo,"Castel Nuovo, Napoli, Italy",Castillo,250,0,"Castel Nuovo, Via Ferdinando Acton, Pizzofalcone, San Ferdinando, Municipalità 1, Napoli, Campania, 80133, Ita",PASS
europa_katia.csv,Nápoles,Galleria Umberto I,"Galleria Umberto I, Napoli, Italy",Sitio histórico,200,11,"Galleria Umberto I, San Ferdinando, Municipalità 1, Napoli, Campania, 80132, Italia",PASS
europa_katia.csv,Nápoles,Teatro di San Carlo,"Teatro di San Carlo, Napoli, Italy",Teatro,150,0,"Teatro di San Carlo, 98, Via San Carlo, San Ferdinando, Municipalità 1, Napoli, Campania, 80132, Italia",PASS
europa_katia.csv,Nápoles,Palacio Real de Nápoles,"Palazzo Reale di Napoli, Napoli, Italy",Palacio,200,19,"Biglietteria Palazzo Reale di Napoli, Piazza del Plebiscito, Pizzofalcone, San Ferdinando, Municipalità 1, Nap",PASS
europa_katia.csv,Nápoles,Piazza del Plebiscito,"Piazza del Plebiscito, Napoli, Italy",Plaza,250,0,"Piazza del Plebiscito, Pizzofalcone, San Ferdinando, Municipalità 1, Napoli, Campania, Italia",PASS
europa_katia.csv,Nápoles,Palazzo Salerno,"Palazzo Salerno, Napoli, Italy",Palacio,200,0,"Palazzo Salerno, Rampe Paggeria, Pizzofalcone, San Ferdinando, Municipalità 1, Napoli, Campania, 80132, Italia",PASS
europa_katia.csv,Nápoles,San Francesco di Paola,"Basilica di San Francesco di Paola, Napoli, Italy",Iglesia,150,0,"Basilica di San Francesco di Paola, Piazza del Plebiscito, Pizzofalcone, San Ferdinando, Municipalità 1, Napol",PASS
europa_katia.csv,Nápoles,Palazzo della Prefettura,"Palazzo della Prefettura, Napoli, Italy",Palacio,200,30,"Gran Caffè Gambrinus, 1/2, Via Chiaia, Pizzofalcone, San Ferdinando, Municipalità 1, Napoli, Campania, 80121, ",PASS
europa_katia.csv,Nápoles,Museo Arqueológico Nacional,"Museo Archeologico Nazionale di Napoli, Napoli, Italy",Museo,150,0,"Museo archeologico nazionale di Napoli, 19, Piazza Museo Nazionale, Rione Sanità, Stella, Municipalità 3, Napo",PASS
europa_katia.csv,Nápoles,Castel Sant'Elmo,"Castel Sant'Elmo, Napoli, Italy",Castillo,250,0,"Castel Sant'Elmo, 22, Via Tito Angelini, Vomero, Municipalità 5, Napoli, Campania, 80129, Italia",PASS
europa_katia.csv,Nápoles,Real Bosco di Capodimonte,"Real Bosco di Capodimonte, Napoli, Italy",Parque,600,0,"Real Bosco di Capodimonte, Napoli, Campania, Italia",PASS
europa_katia.csv,Nápoles,Piazza Dante,"Piazza Dante, Napoli, Italy",Plaza,250,0,"Piazza Dante, Rione Montesanto, San Giuseppe, Municipalità 2, Napoli, Campania, Italia",PASS
europa_katia.csv,Nápoles,Cimitero delle Fontanelle,"Cimitero delle Fontanelle, Napoli, Italy",Cementerio,400,0,"Cimitero delle Fontanelle, 80, Avvocata, Municipalità 2, Napoli, Campania, 80136, Italia",PASS
europa_katia.csv,Nápoles,Vomero,"Vomero, Napoli, Italy",Barrio,800,0,"Vomero, Municipalità 5, Napoli, Campania, 80127, Italia",PASS
europa_katia.csv,Liubliana,Metelkova Mesto,"Metelkova, Ljubljana, Slovenia",Barrio,800,0,"Metelkova, Maistrova ulica, Tabor, Poljane, Četrtna skupnost Center, Ljubljana, Upravna Enota Ljubljana, 1000,",PASS
europa_katia.csv,Liubliana,Museo Nacional de Eslovenia,"Narodni muzej Slovenije, Ljubljana, Slovenia",Museo,150,0,"Narodni muzej Slovenije – Prešernova, 20, Prešernova cesta, Vrtača, Grajski grič, Četrtna skupnost Center, Lju",PASS
europa_katia.csv,Liubliana,Museo Etnográfico Esloveno,"Slovenski etnografski muzej, Ljubljana, Slovenia",Museo,150,0,"Slovenski etnografski muzej, 2, Metelkova ulica, Tabor, Poljane, Četrtna skupnost Center, Ljubljana, Upravna E",PASS
europa_katia.csv,Liubliana,Casco histórico de Liubliana,"Stari trg, Ljubljana, Slovenia",Casco histórico,800,0,"Stari trg, Žabjak, Grajski grič, Četrtna skupnost Center, Ljubljana, Upravna Enota Ljubljana, 1000, Slovenija",PASS
europa_katia.csv,Liubliana,Castillo de Liubliana,"Ljubljanski grad, Ljubljana, Slovenia",Castillo,250,0,"Ljubljanski grad, Ovinki, Žabjak, Grajski grič, Četrtna skupnost Center, Ljubljana, Upravna Enota Ljubljana, 1",PASS
europa_katia.csv,Liubliana,Catedral de San Nicolás,"Stolnica sv. Nikolaja, Ljubljana, Slovenia",Catedral,150,0,"Stolnica sv. Nikolaja, 1, Dolničarjeva ulica, Ledina, Grajski grič, Četrtna skupnost Center, Ljubljana, Upravn",PASS
europa_katia.csv,Liubliana,Iglesia Franciscana de la Anunciación,"Frančiškanska cerkev Marijinega oznanjenja, Ljubljana, Slovenia",Iglesia,150,0,"Frančiškanska cerkev Marijinega oznanjenja, Miklošičeva cesta, Ledina, Grajski grič, Četrtna skupnost Center, ",PASS
europa_katia.csv,Liubliana,Plaza del Congreso,"Kongresni trg, Ljubljana, Slovenia",Plaza,250,0,"Kongresni trg, Grajski grič, Četrtna skupnost Center, Ljubljana, Upravna Enota Ljubljana, 1000, Slovenija",PASS
europa_katia.csv,Liubliana,Triple Puente,"Tromostovje, Ljubljana, Slovenia",Puente,150,0,"Tromostovje, Hribarjevo nabrežje, Ledina, Grajski grič, Četrtna skupnost Center, Ljubljana, Upravna Enota Ljub",PASS
europa_katia.csv,Liubliana,Parque Tivoli,"Park Tivoli, Ljubljana, Slovenia",Parque,600,0,"Park Tivoli, Četrtna skupnost Center, Ljubljana, Upravna Enota Ljubljana, 1000, Slovenija",PASS
europa_katia.csv,Liubliana,Puente de los Dragones,"Zmajski most, Ljubljana, Slovenia",Puente,150,0,"Zmajski most, Resljeva cesta, Ledina, Grajski grič, Četrtna skupnost Center, Ljubljana, Upravna Enota Ljubljan",PASS
europa_katia.csv,Liubliana,Mercado Central de Liubliana,"Plečnikove arkade, Ljubljana, Slovenia",Mercado,300,0,"Plečnikove arkade, Pogačarjev trg, Ledina, Grajski grič, Četrtna skupnost Center, Ljubljana, Upravna Enota Lju",PASS
europa_katia.csv,Liubliana,Biblioteca Nacional (NUK),"Narodna in univerzitetna knjižnica, Ljubljana, Slovenia",Sitio histórico,200,0,"Narodna in univerzitetna knjižnica, 1, Turjaška ulica, Žabjak, Grajski grič, Četrtna skupnost Center, Ljubljan",PASS
europa_katia.csv,Liubliana,Cementerio Žale,"Žale, Ljubljana, Slovenia",Cementerio,400,0,"Centralno pokopališče Žale, Četrtna skupnost Bežigrad, Ljubljana, Upravna Enota Ljubljana, 1000, Slovenija",PASS
europa_katia.csv,Liubliana,Velika Planina,"Velika planina, Kamnik, Slovenia",Paisaje,2500,0,"Velika Planina, Kamnik, Upravna Enota Kamnik, 1242, Slovenija",PASS
europa_katia.csv,Lagos Alpinos,Lago Bled,"Blejsko jezero, Bled, Slovenia",Lago,3000,0,"Blejsko jezero, Bled, Slovenija",PASS
europa_katia.csv,Lagos Alpinos,Castillo de Bled,"Blejski grad, Bled, Slovenia",Castillo,250,0,"Blejski grad, Grajska cesta, Bled, 4260, Slovenija",PASS
europa_katia.csv,Lagos Alpinos,Isla de Bled,"Blejski otok, Bled, Slovenia",Sitio histórico,200,0,"Blejski otok, Mlino, Bled, Slovenija",PASS
europa_katia.csv,Lagos Alpinos,Mirador Ojstrica,"Ojstrica, Bled, Slovenia",Mirador,150,0,"Ojstrica, Bled, 4263, Slovenija",PASS
europa_katia.csv,Lagos Alpinos,Mirador Mala Osojnica,"Mala Osojnica, Bled, Slovenia",Mirador,150,0,"Mala Osojnica, Bled, 4263, Slovenija",PASS
europa_katia.csv,Lagos Alpinos,Garganta de Vintgar,"Soteska Vintgar, Podhom, Slovenia",Naturaleza,2000,0,"Soteska Vintgar, Podhom, Gorje, 4273, Slovenija",PASS
europa_katia.csv,Lagos Alpinos,Lago Bohinj,"Bohinjsko jezero, Ribčev Laz, Slovenia",Lago,3000,0,"Bohinjsko jezero, Ribčev Laz, Bohinj, Slovenija",PASS
europa_katia.csv,Lagos Alpinos,Cascada Savica,"Savica, Ukanc, Slovenia",Cascada,300,0,"Savica, Ukanc, Bohinj, Slovenija",PASS
europa_katia.csv,Lagos Alpinos,Garganta de Mostnica,"Korita Mostnice, Stara Fužina, Slovenia",Naturaleza,2000,0,"Korita Mostnice, Stara Fužina, Bohinj, 4265, Slovenija",PASS
europa_katia.csv,Lagos Alpinos,Teleférico de Vogel,"Vogel, Ukanc, Slovenia",Teleférico,300,0,"Vogel, Ukanc, Bohinj, Slovenija",PASS
europa_katia.csv,Karst y Cuevas,Cuevas de Postojna,"Postojnska jama, Veliki Otok, Slovenia",Cueva,300,0,"Postojnska jama, Pot pastirčka Jakoba, Sovič, Veliki Otok, Postojna, 6230, Slovenija",PASS
europa_katia.csv,Karst y Cuevas,Castillo de Predjama,"Predjamski grad, Predjama, Slovenia",Castillo,250,0,"Predjamski grad, 1, Predjama, Pristava, Predjama, Postojna, 6230, Slovenija",PASS
europa_katia.csv,Karst y Cuevas,Rakov Škocjan,"Rakov Škocjan, Cerknica, Slovenia",Naturaleza,2000,0,"Rakov Škocjan, Cerknica, 1381, Slovenija",PASS
europa_katia.csv,Karst y Cuevas,Veliki naravni most,"Veliki naravni most, Cerknica, Slovenia",Naturaleza,2000,10,"Veliki naravni most, 914, Cerknica, 1381, Slovenija",PASS
europa_katia.csv,Karst y Cuevas,Mali naravni most,"Mali naravni most, Zelše, Slovenia",Naturaleza,2000,113,"Mali naravni most, Rakov Škocjan, Zelše, Cerknica, 1381, Slovenija",PASS
europa_katia.csv,Valle del Soča,Valle del Soča,"Soča, Bovec, Slovenia",Valle,3000,0,"Soča, Bovec, Slovenija",PASS
europa_katia.csv,Valle del Soča,Cascada Kozjak,"Slap Kozjak, Kobarid, Slovenia",Cascada,300,0,"Slap Kozjak, Kobarid, 5222, Slovenija",PASS
europa_katia.csv,Valle del Soča,Gargantas de Tolmin,"Tolminska korita, Zadlaz - Čadrg, Slovenia",Naturaleza,2000,0,"Tolminska korita, Zatolmin, Ralne, Zadlaz - Čadrg, Tolmin, 5220, Slovenija",PASS
europa_katia.csv,Valle del Soča,Paso de Vršič,"Prelaz Vršič, Bovec, Slovenia",Ruta,5000,0,"Prelaz Vršič, Bovec, Slovenija",PASS
europa_katia.csv,Costa Eslovena,Piran,"Piran, Slovenia",Pueblo,1500,0,"Piran / Pirano, Upravna enota Piran / Unità amministrativa Pirano, 6630, Slovenija",PASS
europa_katia.csv,Costa Eslovena,Iglesia de San Jorge,"Sv. Jurij, Piran, Slovenia",Iglesia,150,0,"Sv. Jurij / San Giorgio, Adamičeva ulica, Raštel, Piran / Pirano (naselje), Piran / Pirano, Upravna enota Pira",PASS
europa_katia.csv,Costa Eslovena,Koper,"Koper, Slovenia",Ciudad,2000,0,"Koper / Capodistria, Upravna enota Koper / Unità amministrativa Capodistria, 6000, Slovenija",PASS
europa_katia.csv,Trieste,Piazza Unità d'Italia,"Piazza Unità d'Italia, Trieste, Italy",Plaza,250,0,"Piazza Unità d'Italia, Cavana, San Vito, Città Nuova-Barriera Nuova-San Vito-Città Vecchia, Trieste, Friuli-Ve",PASS
europa_katia.csv,Trieste,Castillo de Miramare,"Castello di Miramare, Trieste, Italy",Castillo,250,0,"Castello di Miramare, Viale Miramare, Roiano-Gretta-Barcola-Cologna-Scorcola, Miramare / Miramar, Trieste, Fri",PASS
europa_katia.csv,Trieste,Caffè degli Specchi,"Caffè degli Specchi, Trieste, Italy",Café,120,0,"Caffè degli Specchi, 7, Piazza Unità d'Italia, Cavana, San Vito, Città Nuova-Barriera Nuova-San Vito-Città Vec",PASS
europa_katia.csv,Trieste,Antico Caffè San Marco,"Antico Caffè San Marco, Trieste, Italy",Café,120,0,"Caffè San Marco, 18, Via Cesare Battisti, Barriera Nuova, Città Nuova-Barriera Nuova-San Vito-Città Vecchia, O",PASS
europa_katia.csv,Berna,Casco Antiguo de Berna,"Altstadt, Bern, Switzerland",Casco histórico,800,0,"Altstadt, Grünes Quartier, Stadtteil I, Bern, Verwaltungskreis Bern-Mittelland, Verwaltungsregion Bern-Mittell",PASS
europa_katia.csv,Berna,Río Aare,"Aare, Bern, Switzerland",Naturaleza,2000,0,"Aare, Matte, Stadtteil I, Bern, Verwaltungskreis Bern-Mittelland, Verwaltungsregion Bern-Mittelland, Bern/Bern",PASS
europa_katia.csv,Berna,Kramgasse,"Kramgasse, Bern, Switzerland",Calle,400,0,"Kramgasse, Altstadt, Grünes Quartier, Stadtteil I, Bern, Verwaltungskreis Bern-Mittelland, Verwaltungsregion B",PASS
europa_katia.csv,Berna,Marktgasse,"Marktgasse, Bern, Switzerland",Calle,400,125,"Marktgasse, Gelbes Quartier, Stadtteil I, Bern, Verwaltungskreis Bern-Mittelland, Verwaltungsregion Bern-Mitte",PASS
europa_katia.csv,Berna,Spitalgasse,"Spitalgasse, Bern, Switzerland",Calle,400,105,"Spitalgasse, Rotes Quartier, Stadtteil I, Bern, Verwaltungskreis Bern-Mittelland, Verwaltungsregion Bern-Mitte",PASS
